kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6705137,K02609.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,5.597276250,2.1900000e-05,-2.1900000e-05,131.8679800,3.400000e-03,-3.400000e-03,0.4030,0.0600,-0.4030,1.65900,0.11800,-0.11800,2.0080e+02,1.550e+01,-1.550e+01,1.26,3.600e-01,-1.200e-01,975.0,,,213.15,177.55,-58.30,15.30,1,q1_q17_dr25_tce,5796.00,155.00,-172.00,4.522,0.060,-0.192,0.8760,0.2490,-0.0830,295.433750,42.167660,14.626
12254688,K02384.01,,CANDIDATE,CANDIDATE,0.0150,0,0,0,0,62.682576900,2.8390000e-04,-2.8390000e-04,182.2295900,3.590000e-03,-3.590000e-03,1.0950,7.1020,-0.1130,2.32700,0.16600,-0.16600,3.9890e+02,2.640e+01,-2.640e+01,39.80,5.100e+00,-1.429e+01,916.0,,,166.36,69.32,-106.58,17.80,1,q1_q17_dr25_tce,7058.00,191.00,-233.00,3.648,0.328,-0.082,3.1010,0.3980,-1.1130,289.373810,50.934341,13.072
8345172,K02385.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,50.571580500,2.8080000e-04,-2.8080000e-04,161.1136600,4.410000e-03,-4.410000e-03,0.0740,0.3770,-0.0740,3.72600,0.13400,-0.13400,1.2826e+03,7.300e+01,-7.300e+01,2.74,4.300e-01,-2.300e-01,406.0,,,6.44,3.24,-1.66,19.90,1,q1_q17_dr25_tce,5262.00,158.00,-158.00,4.590,0.032,-0.104,0.7830,0.1220,-0.0660,282.017400,44.385780,15.812
4172013,K02386.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,16.270720700,2.2290000e-04,-2.2290000e-04,145.0970000,1.120000e-02,-1.120000e-02,1.1870,7.1630,-0.1660,5.70700,0.57900,-0.57900,4.6800e+02,4.380e+01,-4.380e+01,28.42,4.680e+00,-3.110e+00,827.0,,,110.79,47.43,-27.69,13.00,1,q1_q17_dr25_tce,6117.00,79.00,-85.00,4.315,0.084,-0.126,1.2440,0.2050,-0.1360,294.940090,39.232571,14.940
12254378,K02387.01,Kepler-1217 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,2.032319072,5.3270000e-06,-5.3270000e-06,132.3215700,2.390000e-03,-2.390000e-03,0.1330,0.3320,-0.1330,1.67620,0.06900,-0.06900,3.1550e+02,1.490e+01,-1.490e+01,1.87,6.100e-01,-2.000e-01,1542.0,,,1333.35,1277.72,-427.18,24.50,1,q1_q17_dr25_tce,6156.00,171.00,-236.00,4.443,0.054,-0.216,1.0500,0.3410,-0.1140,289.186680,50.937561,15.298
4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.100870416,3.6100000e-07,-3.6100000e-07,168.1460533,7.020000e-05,-7.020000e-05,0.9380,0.0150,-0.0140,8.15361,0.00405,-0.00405,1.2352e+05,5.480e+01,-5.480e+01,82.46,2.179e+01,-2.419e+01,1413.0,,,939.61,760.99,-532.96,2619.20,1,q1_q17_dr25_tce,5923.00,187.00,-208.00,4.118,0.286,-0.154,1.5100,0.3990,-0.4430,287.164860,39.376942,11.260
7604328,K02458.01,Kepler-1245 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,4.354073710,2.0440000e-05,-2.0440000e-05,132.8569500,3.940000e-03,-3.940000e-03,0.7340,0.2080,-0.5320,2.42700,0.10400,-0.10400,2.7710e+02,1.610e+01,-1.610e+01,1.63,3.900e-01,-2.500e-01,1043.0,,,279.53,199.23,-103.12,19.00,2,q1_q17_dr25_tce,5455.00,162.00,-162.00,4.421,0.149,-0.198,0.9090,0.2130,-0.1420,290.744320,43.260780,15.404
11236244,K02460.01,Kepler-1246 b,CONFIRMED,CANDIDATE,0.9560,0,0,0,0,11.322697490,9.5400000e-05,-9.5400000e-05,136.0551100,5.350000e-03,-5.350000e-03,0.9510,0.0260,-0.6900,3.51700,0.13400,-0.13400,3.1100e+02,2.270e+01,-2.270e+01,1.51,1.200e-01,-1.300e-01,554.0,,,22.24,6.58,-5.82,16.00,1,q1_q17_dr25_tce,4563.00,123.00,-136.00,4.624,0.048,-0.028,0.6420,0.0510,-0.0560,287.657410,48.982159,15.006
9837685,K02461.01,Kepler-1247 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,13.712185220,6.0130000e-05,-6.0130000e-05,135.5187500,3.950000e-03,-3.950000e-03,0.6800,0.2710,-0.4670,2.43700,0.09940,-0.09940,7.8670e+02,4.040e+01,-4.040e+01,2.47,6.000e-01,-2.400e-01,676.0,,,49.26,37.19,-14.05,22.60,1,q1_q17_dr25_tce,5550.00,182.00,-182.00,4.562,0.042,-0.168,0.8310,0.2010,-0.0800,294.533540,46.618271,15.935
5042210,K02462.01,,CANDIDATE,CANDIDATE,0.9960,0,0,0,0,12.146846250,8.2000000e-05,-8.2000000e-05,131.5562300,6.050000e-03,-6.050000e-03,0.6870,0.0290,-0.5100,6.19700,0.15800,-0.15800,7.0700e+01,3.000e+00,-3.000e+00,1.75,2.500e-01,-4.500e-01,1097.0,,,342.49,138.03,-168.51,27.10,1,q1_q17_dr25_tce,5877.00,116.00,-116.00,3.927,0.203,-0.087,1.9630,0.2730,-0.5070,298.991700,40.142422,11.821
